Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost
Online Behavior>United States>Autos and Vehicles>Hybrid and Alternative Vehicles,300x50,Sign up Now - 10% Off,"New York City, New York",hindustantimes.com,Google Ad Manager,Smartphone,17518,60,11513,16192,12,6765.0004
Mobile - US » Travel » Activity » Ski Travelers,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",hindustantimes.com,Google Ad Manager,Smartphone,16580,84,11928,14527,6,1965.738947
US » Sociodemographic » P$YCLE Premier Lifestage » M3 Upscale Empty Nests,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",historyallday.com,BidSwitch,Smartphone,14379,30,6272,11886,18,1973.562233
Online Behavior>United States>Intent » Auto Buyers » Car Make>Dodge,320x50,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",historycollection.com,Google Ad Manager,Smartphone,138904,399,98952,120688,25,5038.644724
Online Behavior>United States>Intent » Auto Buyers » Type>SUV,300x250,Sign up Today - 10% Off,"New York City, New York",homeaddict.io,BidSwitch,Windows PC,99205,230,49240,72687,21,6185.002486
Online Behavior>United States>Validated Demographic » Age>35-44,300x250,10% Discount - Ends 6/1,"San Francisco, California",homehacks.co,Google Ad Manager,Windows PC,27473,69,11306,20625,2,2922.286102
US Demographic » Preferred Language » Individual » Non-Hispanic,300x250,Subscribe Today - 10% Discount,"New York City, New York",houseplans.net,BidSwitch,Smartphone,7356,10,1588,7088,1,1730.37357
Online Behavior>United States>Arts and Entertainment>Celebrities and Entertainment News,320x50,10% Discount - Ends 6/1,"Orlando-Daytona Beach, Florida",icy-veins.com,Google Ad Manager,Smartphone,9261,66,3852,8526,9,6511.029576
OnAudience » Intent » Education,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",icy-veins.com,PubMatic,Smartphone,19344,68,2353,18261,10,1500.722291
Online Behavior>United States>Intent » Auto Buyers » Car Make>Mazda,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",iflscience.com,Google Ad Manager,Smartphone,11672,84,7619,9999,7,5284.27704
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 25-34,300x250,10% Discount - Ends 6/1,"Los Angeles, California",ign.com,Index Exchange,Smartphone,8273,24,1929,7441,3,4689.521024
OnAudience » Interest » Technology & Computing » Internet Technology,300x250,Subscribe Today - 10% Discount,"Panama City, Florida",ign.com,OpenX,Smartphone,13833,84,7693,13237,6,1526.787066
Mobile - US » Sports » UFC Fans,320x50,Sign up Today - 10% Off,"Peoria-Bloomington, Illinois",ign.com,Google Ad Manager,Smartphone,22180,60,4835,19291,9,1441.631095
Online Behavior>United States>Intent » Shopping>Auto Parts Stores,320x50,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce, Florida",insider.com,Google Ad Manager,Smartphone,102905,421,45324,99065,1,6407.581828
Online Behavior>United States>Autos and Vehicles » Brands>Ford,300x50,Sign up Today - 10% Off,"New York City, New York",insider.com,Google Ad Manager,Smartphone,89744,311,48786,85900,3,6369.811226
Lotame » Technology » Mobile Phones,300x250,Sign up Today - 10% Off,"Champaign & Springfield-Decatur,Illinois",insider.com,PubMatic,Smartphone,39705,190,12950,38030,3,1476.419509
Online Behavior>United States>Autos and Vehicles » Brands>Maybach,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",insidethemagic.net,Magnite DV+,Smartphone,23941,150,13054,22276,6,2856.165425
Online Behavior>United States>The Changing Consumer>Online Retailers,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",investing.com,Google Ad Manager,Smartphone,42759,177,17744,34812,12,6316.488054
Online Behavior>United States>Finance » Financial Planning and Management>Inheritance and Estate Planning,320x50,Sign up Today - 10% Off,"Chicago, Illinois",investing.com,Index Exchange,Smartphone,115673,410,52475,97166,22,5045.93793
Lotame » Travel » Winter Holiday Travel,300x250,Sign up Now - 10% Off,"San Francisco, California",investing.com,Magnite DV+,Apple PC,81486,193,57653,76803,6,1463.842874
US » Brand Propensities » Home and Household Goods » Pottery Barn Kids Buyer Propensity,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",investmentguru.com,OpenX,Windows PC,31813,84,14149,21281,13,2060.993882
Online Behavior>United States>Intent » Shopping>Drug Stores,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",investopedia.com,Google Ad Manager,Smartphone,7687,10,5311,7266,6,6486.853909
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Individual Sports » Tennis and Racquet Sports,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",investopedia.com,BidSwitch,Apple PC,17228,30,11116,16044,3,1547.513459
US » Reach » Propensity Models » Hobbies and Interest » Sports » NBA Enthusiast,320x50,10% Discount - Ends 6/1,"New York City, New York",jdpower.com,OpenX,Smartphone,21482,67,10473,19679,3,3563.098841
Mobile - US » Device Ownership » Smartphones » Vivo,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",jdpower.com,Google Ad Manager,Smartphone,9178,25,4644,8462,2,1503.205183
"Lotame » Style, Fashion & Clothing » Women's Clothing Shoppers",320x50,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",jdpower.com,Magnite DV+,Smartphone,9040,21,3585,8450,3,1473.192464
Online Behavior>United States>Intent » Shopping>Office Supplies,320x50,Subscribe Today - 10% Discount,"New York City, New York",kbb.com,Magnite DV+,Smartphone,96728,341,69700,91910,15,6587.243331
Online Behavior>United States>Validated Demographic » Gender>Male,320x50,Sign up Today - 10% Off,"San Francisco, California",kbb.com,Google Ad Manager,Smartphone,48947,230,32089,45597,21,5702.290265
Online Behavior>United States>The Changing Consumer>Home Cooking,300x50,10% Discount - Ends 6/1,"New York City, New York",kbb.com,Google Ad Manager,Smartphone,58938,175,41861,55929,9,4881.198269
Online Behavior>United States>B2B » Occupation>Teacher,300x250,Sign up Today - 10% Off,"Chicago, Illinois",kbb.com,OpenX,Smartphone,49014,100,30349,46446,6,3628.34617
Online Behavior>United States>Finance » Accounting and Auditing>Bookkeeping,320x50,10% Discount - Ends 6/1,"Jackson, Mississippi",kbb.com,BidSwitch,Smartphone,69523,174,48273,65800,9,2649.997803
OnAudience » Interest » Arts & Entertainment » Fine Art,300x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",kbb.com,BidSwitch,Smartphone,37717,69,26541,35126,5,1725.271363
Lotame » Technology » Electronics & Gadgets,300x250,10% Discount - Ends 6/1,"Flint-Saginaw-Bay City, Michigan",kbb.com,Google Ad Manager,Apple PC,16236,50,8669,15208,11,1639.813696
OnAudience » Intent » Toys & Games,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",kbb.com,Google Ad Manager,Smartphone,9222,33,5352,8141,2,1583.164302
Online Behavior>United States>Validated Demographic » Age>25 or older,320x50,10% Discount - Ends 6/1,"Chattanooga, Tennessee",kiplinger.com,OpenX,Smartphone,8233,65,5361,7643,4,6381.006576
"Lotame » Style, Fashion & Clothing » Children's Clothing Shoppers",320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",lensvid.com,Yieldmo,Smartphone,9014,26,5054,7227,4,1539.60069
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Males 18-64,300x250,Sign up Today - 10% Off,"Jacksonville, Florida",livescience.com,BidSwitch,Smartphone,9702,40,5564,8210,1,5711.39201
Online Behavior>United States>Food and Drink>Beverages » Soft Drinks,300x250,Sign up Today - 10% Off,"Knoxville, Tennessee",lotterypost.com,Magnite DV+,Smartphone,150457,420,58372,135099,14,5906.830006
Online Behavior>United States>Validated Demographic » Age>25-34,320x50,10% Discount - Ends 6/1,"Panama City, Florida",lotterypost.com,OpenX,Smartphone,190592,601,28906,172515,25,4742.047766
US » Reach » Propensity Models » Finance » Credit » Debit Card » Major Credit Card User,320x50,Sign up Today - 10% Off,"Chicago, Illinois",m.timesofindia.com,BidSwitch,Smartphone,12868,80,6472,11922,6,3137.143043
Lotame » Technology,320x50,Subscribe Today - 10% Discount,"San Francisco, California",m.timesofindia.com,Google Ad Manager,Smartphone,9059,22,589,7480,4,1908.526117
"US » Reach » Propensity Models » Real Estate » Mortgage Amount » $120,000-$159,999",300x250,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",m.timesofindia.com,Sovrn,Windows PC,15904,190,7523,14815,2,1825.725708
Online Behavior>United States>Food and Drink>Restaurants » Fast Food,300x50,Sign up Now - 10% Off,"Chicago, Illinois",macrumors.com,Google Ad Manager,Smartphone,7822,25,3786,7232,13,6781.821647
Online Behavior>United States>Validated Demographic » Age>18-54,320x50,10% Discount - Ends 6/1,"Knoxville, Tennessee",macrumors.com,PubMatic,Smartphone,12214,50,5376,11490,7,5616.309402
Online Behavior>United States>Travel>Air Travel » Airport Parking and Transportation,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",mail.aol.com,Google Ad Manager,Windows PC,141165,250,102776,128004,28,7222.211408
Online Behavior>United States>Sports>Individual Sports » Track and Field,320x50,Sign up Now - 10% Off,"Chicago, Illinois",mail.aol.com,Google Ad Manager,Smartphone,7514,20,2646,3373,3,6756.295179
Online Behavior>United States>Sports>Individual Sports » Bowling,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",mail.aol.com,Smart RTB+ (Smartadserver),Windows PC,30460,95,21830,27750,25,6643.966542
Online Behavior>United States>Autos and Vehicles » Brands>SEAT,300x250,Sign up Now - 10% Off,"Chicago, Illinois",mail.aol.com,BidSwitch,Smartphone,14083,97,9945,12878,11,5979.67
Online Behavior>United States>Intent » Services>Photography,300x50,10% Discount - Ends 6/1,"Chicago, Illinois",mail.aol.com,Google Ad Manager,Smartphone,100058,435,73422,91976,8,5831.225793
Online Behavior>United States>Autos and Vehicles » Brands>Acura,300x250,Subscribe Today - 10% Discount,"New York City, New York",mail.aol.com,Google Ad Manager,Windows PC,83854,197,60626,76071,15,5783.843758
Online Behavior>United States>The Changing Consumer>Delivery Services and Quick Service Restaurants,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",mail.aol.com,PubMatic,Smartphone,103665,270,77283,94019,4,5284.685565
Online Behavior>United States>Intent » Auto Buyers » Type>Sedan,300x250,Sign up Today - 10% Off,"Chicago, Illinois",mail.aol.com,Index Exchange,Windows PC,25889,110,18382,23328,15,4977.784794
"Online Behavior>United States>Finance » Grants, Scholarships and Financial Aid>Study Grants and Scholarships",300x50,10% Discount - Ends 6/1,"Orlando-Daytona Beach, Florida",mail.aol.com,Google Ad Manager,Smartphone,39844,101,28001,36335,3,4439.368082
Online Behavior>United States>Arts and Entertainment>Events and Listings » Food and Beverage Events,300x250,Sign up Today - 10% Off,"Los Angeles, California",mail.aol.com,Google Ad Manager,Smartphone,224359,480,163149,200859,5,4196.936777
US » Reach » Propensity Models » Hobbies and Interest » Music » Streaming,320x50,Subscribe Today - 10% Discount,"Chattanooga, Tennessee",mail.aol.com,Magnite DV+,Smartphone,15399,35,3398,4324,3,3434.731153
US » B2B » B2B Decision Maker Responsibilities » Computer Software,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",mail.aol.com,BidSwitch,Smartphone,136733,110,102728,127130,4,1946.050447
US » Brand Propensities » Health » Beauty and Cosmetics » ULTA Buyer Propensity,320x50,Sign up Now - 10% Off,"Toledo, Ohio",mail.aol.com,Google Ad Manager,Smartphone,198754,480,137649,178415,4,1803.081497
US » Home and Garden Interests » House and Garden Merchandise Buyers,300x250,Subscribe Today - 10% Discount,"Jacksonville, Florida",mail.aol.com,Index Exchange,Smartphone,15033,76,5495,7050,3,1650.72301
Lotame » Offline CPG Purchasers » Product Segment,300x250,Subscribe Today - 10% Discount,"New York City, New York",mail.aol.com,Google Ad Manager,Smartphone,92806,212,67534,85013,11,1579.379602
US » Brand Propensities » Apparel » Bare Necessities Buyer Propensity,320x50,Subscribe Today - 10% Discount,"San Francisco, California",mail.aol.com,BidSwitch,Smartphone,186702,370,132038,167406,4,1568.73602
Mobile - US » Travel » Destination » International Travelers » yes,320x50,Sign up Today - 10% Off,"San Francisco, California",mail.aol.com,BidSwitch,Smartphone,69136,190,40571,63614,3,1507.946851
US » Brand Propensities » Media and Entertainment » Sony Network Entertainment International Buyer Propensity,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",mail.aol.com,PubMatic,Windows PC,32173,104,24427,30084,11,1498.29154
Travel and Tourism » Interest (Affinity) » Destinations » Europe,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",mail.aol.com,Magnite DV+,Smartphone,88819,200,65488,80451,6,1442.22799
Online Behavior>United States>Finance » Financial Planning and Management>Financial Planning and Management,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",mail.yahoo.com,Xandr - Monetize SSP (AppNexus),Smartphone,1323451,3414,737990,1177859,123,8187.114541
Online Behavior>United States>Beauty and Fitness>Fitness,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",mail.yahoo.com,BidSwitch,Smartphone,728841,2174,424340,634059,37,8054.141368
Online Behavior>United States>The Changing Consumer>Data For Good » Current Affairs - Social Justice,320x50,Sign up Now - 10% Off,"New York City, New York",mail.yahoo.com,Magnite DV+,Smartphone,1010148,2874,699834,955905,31,7788.701621
Online Behavior>United States>Sports>Team Sports » Rugby,300x250,10% Discount - Ends 6/1,"New York City, New York",mail.yahoo.com,BidSwitch,Smartphone,1956642,4563,981461,1731673,106,7730.240616
Online Behavior>United States>Beauty and Fitness>Fashion and Style » Fashion Designers and Collections,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",mail.yahoo.com,Google Ad Manager,Smartphone,23774,60,10735,21076,24,7657.108034
Online Behavior>United States>Beauty and Fitness>Weight Loss,300x50,Sign up Now - 10% Off,"Chicago, Illinois",mail.yahoo.com,Magnite DV+,Smartphone,1083050,3984,590156,953556,19,7495.749847
Online Behavior>United States>Travel>Travel Agencies and Services,300x50,Subscribe Today - 10% Discount,"New York City, New York",mail.yahoo.com,Google Ad Manager,Smartphone,184622,180,98938,161848,13,7149.816075
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 18-64,320x50,Sign up Now - 10% Off,"Chicago, Illinois",mail.yahoo.com,Yahoo Exchange,Smartphone,742281,1999,432673,642404,11,6024.422487
Online Behavior>United States>Travel>Specialty Travel » Agritourism,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",mail.yahoo.com,PubMatic,Smartphone,1720462,4865,940296,1516537,20,5906.464967
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 25-64,300x250,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",mail.yahoo.com,Google Ad Manager,Smartphone,766674,1984,344201,720606,17,5816.234619
Online Behavior>United States>The Changing Consumer>Home Entertaining,300x250,Sign up Today - 10% Off,"Flint-Saginaw-Bay City, Michigan",mail.yahoo.com,Google Ad Manager,Smartphone,14730,86,6410,10860,6,5287.567528
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 18-44,320x50,10% Discount - Ends 6/1,"Augusta, Georgia",mail.yahoo.com,PubMatic,Smartphone,207685,512,20134,30708,34,5239.204787
Online Behavior>United States>Food and Drink>Restaurants,300x250,Sign up Today - 10% Off,"Los Angeles, California",mail.yahoo.com,Taboola,Smartphone,908899,1984,644697,853964,32,5181.087383
Online Behavior>United States>Sports>Winter Sports » Ice Skating,300x250,Sign up Now - 10% Off,"Chicago, Illinois",mail.yahoo.com,Google Ad Manager,Smartphone,470192,940,336480,443202,3,4963.966251
US » Reach » Propensity Models » Hobbies and Interest » Sports » PGA Tour Enthusiast,320x50,Sign up Now - 10% Off,"New York City, New York",mail.yahoo.com,PubMatic,Smartphone,65257,201,12749,19274,3,2468.135837
US » Sociodemographic » ConneXions Lifestage » M4 Elderly Traditionalists,320x50,Sign up Today - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",mail.yahoo.com,Google Ad Manager,Smartphone,31003,87,12591,22656,8,2294.003778
US » Reach » Propensity Models » Hobbies and Interest » Sports » NASCAR Enthusiast,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",mail.yahoo.com,Google Ad Manager,Smartphone,12988,69,6514,9378,4,2236.485099
Mobile - US » Automotive » Vehicle Ownership » yes,300x50,Sign up Today - 10% Off,"Chicago, Illinois",mail.yahoo.com,Google Ad Manager,Smartphone,562103,1450,340616,488921,8,1733.830172
US » Brand Propensities » Media and Entertainment » Steam Community Buyer Propensity,320x50,Sign up Today - 10% Off,"San Francisco, California",mail.yahoo.com,Google Ad Manager,Smartphone,780475,2186,453974,691696,11,1726.249457
OnAudience » Interest » Travel,300x250,Subscribe Today - 10% Discount,"New York City, New York",mail.yahoo.com,BidSwitch,Smartphone,7540,10,1475,2054,1,1713.978863
US » Brand Propensities » Automotive » Tirerack.com Buyer Propensity,300x250,Sign up Today - 10% Off,"Nashville, Tennessee",mail.yahoo.com,Google Ad Manager,Smartphone,482834,1269,292059,428761,7,1594.463397
"Lotame » Style, Fashion & Clothing » Clothing Shoppers",300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",mail.yahoo.com,Index Exchange,Smartphone,19464,68,11814,17040,9,1540.46935
Transactional » Q3 Home Entertainers,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",mail.yahoo.com,PubMatic,Smartphone,50838,130,23274,35934,11,1521.372273
Travel and Tourism » Interest (Affinity) » Products » Hotels and Lodging,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",mail.yahoo.com,Smart RTB+ (Smartadserver),Smartphone,679098,1984,467726,634589,9,1477.424856
US » Demographic » Family » Households with 3 Adults,300x250,10% Discount - Ends 6/1,"San Francisco, California",mail.yahoo.com,Google Ad Manager,Windows PC,32436,56,17531,28429,6,1470.670167
Online Behavior>United States>Intent » Shopping>Entertainment,300x50,Sign up Today - 10% Off,"New York City, New York",mapquest.com,Index Exchange,Smartphone,11734,78,8741,10606,5,6439.283498
Online Behavior>United States>The Changing Consumer>Personal Budgeting,320x50,Sign up Today - 10% Off,"Tri-Cities, Tennessee-Virginia",mapquest.com,Magnite DV+,Smartphone,27371,60,22256,25986,5,4984.485583
Mobile - US » Food » Restaurant » Brand » Moes Southwest Grill,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",mapquest.com,Index Exchange,Smartphone,21903,124,18831,20922,4,1661.167909
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Males 25-54,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",marca.com,Sharethrough,Smartphone,9725,80,6616,8778,1,4942.283987
Online Behavior>United States>Travel>Business Travel,320x50,Sign up Today - 10% Off,"Chicago, Illinois",marca.com,Google Ad Manager,Smartphone,45965,190,10028,37295,1,4718.836114
US Financial » Likely In Market Timing » Not At All Likely to Purchase » Second House/Residence In The Next Year (Financial),300x250,Sign up Now - 10% Off,"Los Angeles, California",maxroll.gg,Google Ad Manager,Smartphone,8944,45,3002,6361,6,1755.484542
Online Behavior>United States>Hobbies and Leisure>Special Occasions » Party Planning,300x250,10% Discount - Ends 6/1,"San Francisco, California",mayoclinic.org,Index Exchange,Smartphone,14398,30,2807,13393,7,5154.644555
Online Behavior>United States>Sports>Individual Sports » Skate Sports,320x50,Sign up Today - 10% Off,"Charleston, South Carolina",medical-news.org,Yahoo Exchange,Smartphone,117879,390,52098,86127,1,5102.706729
US » Reach » Propensity Models » Hobbies and Interest » Sports » NFL Enthusiast,300x250,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",medicalnewstoday.com,Google Ad Manager,Smartphone,22444,160,12672,21345,5,2539.200563
Mobile - US » Device Ownership » Tablets » yes,300x250,Sign up Now - 10% Off,"Knoxville, Tennessee",medicalnewstoday.com,BidSwitch,Apple PC,17645,40,9673,15088,15,1591.772246
US » Health and Wellbeing » Health and Wellbeing,320x50,Sign up Today - 10% Off,"Chicago, Illinois",medicalnewstoday.com,Magnite DV+,Smartphone,9881,15,2344,7324,1,1505.01155
US » Brand Propensities » Telecom and Service Providers » Page Plus Cellular Buyer Propensity,320x50,Sign up Today - 10% Off,"Ft. Wayne, Indiana",merriam-webster.com,Yieldmo,Smartphone,12148,40,7950,11360,9,1936.008049
US » Reach » Propensity Models » Hobbies and Interest » Music » Listens to Pop Music,320x50,Sign up Today - 10% Off,"San Francisco, California",merriam-webster.com/dictionary,Google Ad Manager,Smartphone,18771,69,10871,17138,6,3827.366381
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Team Sports » Soccer (Football),300x250,Sign up Today - 10% Off,"Nashville, Tennessee",merriam-webster.com/dictionary,BidSwitch,Smartphone,7402,9,3860,6406,1,1560.449936
Online Behavior>United States>B2B » Occupation>ElectricalEngineer,320x50,Sign up Today - 10% Off,"Chicago, Illinois",miamiherald.com,Google Ad Manager,Smartphone,38735,114,28719,36629,4,2127.824066
Online Behavior>United States>Beauty and Fitness>Fashion and Style,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",miamiherald.com,Xandr - Monetize SSP (AppNexus),Smartphone,7320,33,4020,6692,15,1730.37357
Online Behavior>United States>Autos and Vehicles » Brands>Honda,320x50,10% Discount - Ends 6/1,"Peoria-Bloomington, Illinois",microsoftcasualgames.com,PubMatic,Smartphone,90463,204,803,2465,9,6120.602514
Online Behavior>United States>Validated Demographic » Age>25-64,320x50,Sign up Now - 10% Off,"Savannah, Georgia",microsoftcasualgames.com,Magnite DV+,Smartphone,252170,650,9248,14192,1,5874.00478
US » Reach » Propensity Models » Household Consumer Expenditures » Furniture,320x50,Subscribe Today - 10% Discount,"Louisville, Kentucky",microsoftcasualgames.com,PubMatic,Smartphone,68114,174,569,2059,15,2753.711986
US » Reach » Propensity Models » Hobbies and Interest » Music » Listens to Country Music,300x250,10% Discount - Ends 6/1,"San Francisco, California",microsoftcasualgames.com,PulsePoint,Smartphone,292578,812,6474,12323,4,1826.318738
Online Behavior>United States>Intent » Shopping>Wireless Providers,300x250,10% Discount - Ends 6/1,"Los Angeles, California",milb.com,Google Ad Manager,Apple PC,39725,144,5402,36080,12,6431.555152
Online Behavior>United States>Hobbies and Leisure>Outdoors » Fishing,300x250,Sign up Today - 10% Off,"New York City, New York",mlb.com,PubMatic,Windows PC,25206,75,3588,23556,19,6846.356434
Online Behavior>United States>Autos and Vehicles » Brands>Volkswagen,300x250,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",mlb.com,Google Ad Manager,Smartphone,7789,30,4655,7434,1,6396.868763
Online Behavior>United States>Autos and Vehicles » Brands>Jaguar,320x50,Sign up Now - 10% Off,"Chicago, Illinois",mlb.com,Google Ad Manager,Smartphone,38396,87,6305,35118,9,5740.164546
US » Interest Propensities » Celebrities » Celebrity Fan Gossip,320x50,Subscribe Today - 10% Discount,"New York City, New York",mlb.com,Google Ad Manager,Smartphone,10012,25,5734,9413,4,1805.926086
US » Interest Propensities » Insurance » Humana,300x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",mlb.com,Kargo,Smartphone,12459,84,7290,11731,14,1593.010399
US » Interest Propensities » Activities and Interests » B2B Job Search,320x50,Sign up Today - 10% Off,"Memphis, Tennessee",mlb.com,BidSwitch,Smartphone,32714,69,3756,30764,15,1506.624304
Online Behavior>United States>Autos and Vehicles » Brands>Bugatti,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",mobileposse.com,Google Ad Manager,Smartphone,98509,299,30688,109518,15,2059.270294
Media and Entertainment » Gaming » In-Market,300x250,Sign up Today - 10% Off,"San Francisco, California",moneyppl.com,Xandr - Monetize SSP (AppNexus),Windows PC,37076,113,9246,22565,12,1487.996078
Media and Entertainment » Events and Attractions,300x250,10% Discount - Ends 6/1,"Flint-Saginaw-Bay City, Michigan",motor-junkie.com,PubMatic,Windows PC,70506,270,26779,48902,3,1912.966882
Online Behavior>United States>Finance » Banking>Banking,320x50,10% Discount - Ends 6/1,"Los Angeles, California",msn.com,Google Ad Manager,Smartphone,921791,2150,668449,852442,69,8042.897949
Online Behavior>United States>Finance » Credit and Lending>Credit and Lending,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",msn.com,PubMatic,Smartphone,4154911,1254,2338732,3445626,154,8038.570371
Online Behavior>United States>Finance » Investing>Investing,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",msn.com,Google Ad Manager,Smartphone,1222302,3142,553773,1120128,42,7880.770406
Online Behavior>United States>Beauty and Fitness>Hair Care,320x50,Sign up Today - 10% Off,"San Francisco, California",msn.com,Google Ad Manager,Smartphone,999915,2748,618816,829942,23,7879.316787
Online Behavior>United States>Life Event>College Graduation,320x50,10% Discount - Ends 6/1,"Los Angeles, California",msn.com,Google Ad Manager,Smartphone,1515751,3874,1151776,1396230,49,7850.644244
Online Behavior>United States>The Changing Consumer>Happy at Home,300x250,Sign up Now - 10% Off,"Los Angeles, California",msn.com,Index Exchange,Smartphone,1575592,3874,1155869,1447900,88,7818.648297
Online Behavior>United States>Sports>Team Sports » American Football,320x50,Sign up Today - 10% Off,"Nashville, Tennessee",msn.com,PubMatic,Smartphone,458931,974,264325,378011,30,7462.677935
Online Behavior>United States>Autos and Vehicles>Electric and Plug-In Vehicles,320x50,10% Discount - Ends 6/1,"San Francisco, California",msn.com,PubMatic,Smartphone,1601933,4265,1135085,1487426,29,6785.70979
Online Behavior>United States>Intent » Shopping>Home and Garden,320x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",msn.com,Google Ad Manager,Smartphone,26270,63,12813,21893,12,6417.264564
Online Behavior>United States>Intent » Auto Buyers » Type>Truck,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",msn.com,BidSwitch,Smartphone,12974,84,7521,10959,7,6301.868847
Online Behavior>United States>Intent » Shopping>Consumer Electronics » Televisions/TVs,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",msn.com,PubMatic,Smartphone,192201,489,113707,157940,3,6176.004154
Online Behavior>United States>Intent » Services>Arts and Entertainment,300x250,Sign up Today - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Apple PC,29834,99,14599,24656,14,6032.837114
Online Behavior>United States>Sports>Individual Sports » Cycling,300x250,10% Discount - Ends 6/1,"Memphis, Tennessee",msn.com,TripleLift,Windows PC,117518,299,66458,86571,1,5999.993781
Online Behavior>United States>Autos and Vehicles » Brands>Porsche,320x50,Sign up Today - 10% Off,"Chicago, Illinois",msn.com,OpenX,Smartphone,3196231,8745,2013324,2669103,70,5756.271172
Online Behavior>United States>Beauty and Fitness>Spas and Beauty Services » Massage Therapy,300x250,10% Discount - Ends 6/1,"San Francisco, California",msn.com,Google Ad Manager,Smartphone,109128,470,38487,90615,3,5153.117204
Online Behavior>United States>Arts and Entertainment>TV and Video,300x50,Subscribe Today - 10% Discount,"New York City, New York",msn.com,BidSwitch,Smartphone,13946,40,3142,8823,8,4920.23463
Online Behavior>United States>Autos and Vehicles » Brands>Mitsubishi,300x250,Sign up Today - 10% Off,"San Francisco, California",msn.com,Smart RTB+ (Smartadserver),Smartphone,335461,963,171464,247450,5,4445.874629
Online Behavior>United States>Autos and Vehicles » Brands>GM-Daewoo,320x50,Sign up Now - 10% Off,"Rockford, Illinois",msn.com,Google Ad Manager,Smartphone,48436,171,16543,42427,6,4386.648215
US » Demo » Age » 65+,320x50,Sign up Now - 10% Off,"Nashville, Tennessee",msn.com,Google Ad Manager,Smartphone,58738,165,33538,47535,14,2801.584386
US » Sociodemographic » P$YCLE Premier Lifestage » Y3 Fiscal Fledglings,320x50,Sign up Now - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Smartphone,297347,751,166412,251319,4,2255.522409
